/* LOCATION UPDATES */

USERID,CONTRACT,LOCATION_NO,ACCESS_TYPE,ACCESS_TYPE_DB
RVDILK,GRI01,EN2-J-2-3,Edit,EDIT
RVDILK,GRI01,EN2-J-2-4,Edit,EDIT
RVDILK,GRI01,EN2-J-2-5,Edit,EDIT
RVDILK,GRI01,EN2-J-3-1,Edit,EDIT
RVDILK,GRI01,EN2-J-3-2,Edit,EDIT
RVDILK,GRI01,EN2-J-3-3,Edit,EDIT
RVDILK,GRI01,EN2-J-3-4,Edit,EDIT
RVDILK,GRI01,EN2-J-3-5,Edit,EDIT
RVDILK,GRI01,EN2-J-4-1,Edit,EDIT
RVDILK,GRI01,EN2-J-4-2,Edit,EDIT
RVDILK,GRI01,EN2-J-4-3,Edit,EDIT
RVDILK,GRI01,EN2-J-4-4,Edit,EDIT
RVDILK,GRI01,EN2-J-4-5,Edit,EDIT
RVDILK,GRI01,EN2-K-1-4,Edit,EDIT
RVDILK,GRI01,EN2-K-1-1,Edit,EDIT
RVDILK,GRI01,EN2-K-1-2,Edit,EDIT
RVDILK,GRI01,EN2-K-1-3,Edit,EDIT
RVDILK,GRI01,EN2-K-1-5,Edit,EDIT
RVDILK,GRI01,EN2-K-2-1,Edit,EDIT
RVDILK,GRI01,EN2-K-2-2,Edit,EDIT
RVDILK,GRI01,EN2-K-2-3,Edit,EDIT
RVDILK,GRI01,EN2-K-2-4,Edit,EDIT
RVDILK,GRI01,EN2-K-2-5,Edit,EDIT
RVDILK,GRI01,EN2-K-3-1,Edit,EDIT
RVDILK,GRI01,EN2-K-3-2,Edit,EDIT
RVDILK,GRI01,EN2-K-3-3,Edit,EDIT
RVDILK,GRI01,EN2-K-3-4,Edit,EDIT
RVDILK,GRI01,EN2-K-3-5,Edit,EDIT
RVDILK,GRI01,EN2-K-4-1,Edit,EDIT
RVDILK,GRI01,EN2-K-4-2,Edit,EDIT
RVDILK,GRI01,EN2-K-4-3,Edit,EDIT
RVDILK,GRI01,EN2-K-4-4,Edit,EDIT
RVDILK,GRI01,EN2-K-4-5,Edit,EDIT
RVDILK,GRI01,EN2-L-1-1,Edit,EDIT
RVDILK,GRI01,EN2-L-1-2,Edit,EDIT
RVDILK,GRI01,EN2-L-1-3,Edit,EDIT
RVDILK,GRI01,EN2-L-1-4,Edit,EDIT
RVDILK,GRI01,EN2-L-1-5,Edit,EDIT
RVDILK,GRI01,EN2-L-2-1,Edit,EDIT
RVDILK,GRI01,EN2-L-2-2,Edit,EDIT
RVDILK,GRI01,EN2-L-2-3,Edit,EDIT
RVDILK,GRI01,EN2-L-2-4,Edit,EDIT
RVDILK,GRI01,EN2-L-2-5,Edit,EDIT
RVDILK,GRI01,EN2-L-3-1,Edit,EDIT
RVDILK,GRI01,EN2-L-3-2,Edit,EDIT
RVDILK,GRI01,EN2-L-3-3,Edit,EDIT
RVDILK,GRI01,EN2-L-3-4,Edit,EDIT
RVDILK,GRI01,EN2-L-3-5,Edit,EDIT
RVDILK,GRI01,EN2-L-4-1,Edit,EDIT
RVDILK,GRI01,EN2-L-4-2,Edit,EDIT
RVDILK,GRI01,EN2-L-4-3,Edit,EDIT
RVDILK,GRI01,EN2-L-4-4,Edit,EDIT
RVDILK,GRI01,EN2-L-4-5,Edit,EDIT
RVDILK,GRI01,EN2-M-1-1,Edit,EDIT
RVDILK,GRI01,EN2-M-1-2,Edit,EDIT
RVDILK,GRI01,EN2-M-1-3,Edit,EDIT
RVDILK,GRI01,EN2-M-1-4,Edit,EDIT
RVDILK,GRI01,EN2-M-1-5,Edit,EDIT
RVDILK,GRI01,EN2-M-2-1,Edit,EDIT
RVDILK,GRI01,EN2-M-2-2,Edit,EDIT
RVDILK,GRI01,EN2-M-2-3,Edit,EDIT
RVDILK,GRI01,EN2-M-2-4,Edit,EDIT
RVDILK,GRI01,EN2-M-2-5,Edit,EDIT
RVDILK,GRI01,EN2-M-3-1,Edit,EDIT
RVDILK,GRI01,EN2-M-3-2,Edit,EDIT
RVDILK,GRI01,EN2-M-3-3,Edit,EDIT
RVDILK,GRI01,EN2-M-3-4,Edit,EDIT
RVDILK,GRI01,EN2-M-3-5,Edit,EDIT
RVDILK,GRI01,EN2-M-4-1,Edit,EDIT
RVDILK,GRI01,EN2-M-4-2,Edit,EDIT
RVDILK,GRI01,EN2-M-4-3,Edit,EDIT
RVDILK,GRI01,EN2-M-4-4,Edit,EDIT
RVDILK,GRI01,EN2-M-4-5,Edit,EDIT
RVDILK,GRI01,EN2-N-1-1,Edit,EDIT
RVDILK,GRI01,EN2-N-1-2,Edit,EDIT
RVDILK,GRI01,EN2-N-1-3,Edit,EDIT
RVDILK,GRI01,EN2-N-1-4,Edit,EDIT
RVDILK,GRI01,EN2-N-1-5,Edit,EDIT
RVDILK,GRI01,EN2-N-2-1,Edit,EDIT
RVDILK,GRI01,EN2-N-2-2,Edit,EDIT
RVDILK,GRI01,EN2-N-2-3,Edit,EDIT
RVDILK,GRI01,EN2-N-2-4,Edit,EDIT
RVDILK,GRI01,EN2-N-2-5,Edit,EDIT
RVDILK,GRI01,EN2-N-3-1,Edit,EDIT
RVDILK,GRI01,EN2-N-3-2,Edit,EDIT
RVDILK,GRI01,EN2-N-3-3,Edit,EDIT
RVDILK,GRI01,EN2-N-3-4,Edit,EDIT
RVDILK,GRI01,EN2-N-3-5,Edit,EDIT
RVDILK,GRI01,EN2-N-4-1,Edit,EDIT
RVDILK,GRI01,EN2-N-4-2,Edit,EDIT
RVDILK,GRI01,EN2-N-4-3,Edit,EDIT
RVDILK,GRI01,EN2-N-4-4,Edit,EDIT
RVDILK,GRI01,EN2-N-4-5,Edit,EDIT
RVDILK,GRI01,EN2-O-1-1,Edit,EDIT
RVDILK,GRI01,EN2-O-1-2,Edit,EDIT
RVDILK,GRI01,EN2-O-1-3,Edit,EDIT
RVDILK,GRI01,EN2-O-1-4,Edit,EDIT
RVDILK,GRI01,EN2-O-1-5,Edit,EDIT
RVDILK,GRI01,EN2-O-2-1,Edit,EDIT
RVDILK,GRI01,EN2-O-2-2,Edit,EDIT
RVDILK,GRI01,EN2-O-2-3,Edit,EDIT
RVDILK,GRI01,EN2-O-2-4,Edit,EDIT
RVDILK,GRI01,EN2-O-2-5,Edit,EDIT
RVDILK,GRI01,EN2-O-3-1,Edit,EDIT
RVDILK,GRI01,EN2-O-3-2,Edit,EDIT
RVDILK,GRI01,EN2-O-3-3,Edit,EDIT
RVDILK,GRI01,EN2-O-3-4,Edit,EDIT
RVDILK,GRI01,EN2-O-3-5,Edit,EDIT
RVDILK,GRI01,EN2-O-4-1,Edit,EDIT
RVDILK,GRI01,EN2-O-4-2,Edit,EDIT
RVDILK,GRI01,EN2-O-4-3,Edit,EDIT
RVDILK,GRI01,EN2-O-4-4,Edit,EDIT
